longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
,37.849998,52,1467,190,496,177,7.257400,352100,NEAR BAY
,37.849998,52,1467,190,496,177,7.257400,352100,NEAR BAY
-122.269997,37.849998,52,1966,347,793,331,2.775000,152500,NEAR BAY
-122.269997,37.849998,52,1228,293,648,303,2.120200,155500,NEAR BAY
-122.269997,37.840000,52,1503,298,690,275,2.603300,162900,NEAR BAY
-122.269997,37.849998,40,751,184,409,166,1.357800,147500,NEAR BAY
-122.269997,37.849998,42,1639,367,929,366,1.713500,159800,NEAR BAY
-122.269997,37.840000,52,2436,541,1015,478,1.725000,113900,NEAR BAY
-122.269997,37.840000,52,1688,337,853,325,2.180600,99700,NEAR BAY
-122.279999,37.849998,41,535,123,317,119,2.403800,107500,NEAR BAY
-122.279999,37.849998,49,1130,244,607,239,2.459700,93800,NEAR BAY
-122.279999,37.849998,52,1898,421,1102,397,1.808000,105500,NEAR BAY
-122.279999,37.840000,50,2082,492,1131,473,1.642400,108900,NEAR BAY
-122.279999,37.840000,50,2082,492,1131,473,1.642400,108900,NEAR BAY
-122.279999,37.840000,52,729,160,395,155,1.687500,132000,NEAR BAY
-122.279999,37.840000,49,1916,447,863,378,1.927400,122300,NEAR BAY
-122.279999,37.840000,52,2153,481,1168,441,1.961500,115200,NEAR BAY
-122.269997,37.840000,48,1922,409,1026,335,1.796900,110400,NEAR BAY
-122.269997,37.830002,49,1655,366,754,329,1.375000,104900,NEAR BAY
-122.269997,37.830002,51,2665,574,1258,536,2.730300,109700,NEAR BAY
-122.269997,37.830002,49,1215,282,570,264,1.486100,97200,NEAR BAY
-122.269997,37.830002,48,1798,432,987,374,1.097200,104500,NEAR BAY
-122.279999,37.830002,52,1511,390,901,403,1.410300,103900,NEAR BAY
-122.269997,37.820000,43,1007,312,558,253,1.734800,137500,NEAR BAY
-122.269997,37.820000,40,946,375,700,352,1.775000,112500,NEAR BAY
-122.269997,37.820000,21,896,453,735,438,0.921800,171900,NEAR BAY
-122.269997,37.820000,43,1868,456,1061,407,1.504500,93800,NEAR BAY
-122.269997,37.820000,41,3221,853,1959,720,1.110800,97500,NEAR BAY
-122.269997,37.820000,52,1630,456,1162,400,1.247500,104200,NEAR BAY
-122.279999,37.820000,52,1170,235,701,233,1.609800,87500,NEAR BAY
-122.279999,37.820000,52,945,243,576,220,1.411300,83100,NEAR BAY
-122.279999,37.820000,52,1238,288,622,259,1.505700,87500,NEAR BAY
-122.279999,37.820000,52,1489,335,728,244,0.817200,85300,NEAR BAY
-122.290001,37.820000,2,158,43,94,57,2.562500,60000,NEAR BAY
-122.290001,37.830002,52,1121,211,554,187,3.392900,75700,NEAR BAY
-122.290001,37.820000,49,135,29,86,23,6.118300,75000,NEAR BAY
-122.290001,37.810001,50,760,190,377,122,0.901100,86100,NEAR BAY
-122.300003,37.810001,52,1224,237,521,159,1.191000,76100,NEAR BAY
-122.300003,37.810001,48,828,182,392,133,2.593800,73500,NEAR BAY
