Date,Temperature - mean
2010-02-05,41.895098
2010-02-12,38.871569
2010-02-19,40.862308
2010-02-26,46.598704
2010-03-05,47.642037
2010-03-12,57.619174
2010-03-19,55.591743
2010-03-26,51.123211
2010-04-02,61.657660
2010-04-09,64.784964
2010-04-16,66.206115
2010-04-23,64.500803
2010-04-30,66.330803
2010-05-07,70.636934
2010-05-14,73.198321
2010-05-21,74.553358
2010-05-28,79.312044
2010-06-04,79.974672
2010-06-11,81.999854
2010-06-18,84.626934
2010-06-25,84.880438
2010-07-02,81.262774
2010-07-09,81.708978
2010-07-16,84.034307
2010-07-23,85.219416
2010-07-30,82.577737
2010-08-06,87.069783
2010-08-13,87.217899
2010-08-20,87.238333
2010-08-27,85.487681
2010-09-03,81.713623
2010-09-10,78.732899
2010-09-17,80.593043
2010-09-24,78.667464
2010-10-01,69.889493
2010-10-08,64.370725
2010-10-15,66.515217
2010-10-22,69.051884
2010-10-29,67.240580
2010-11-05,58.165290
2010-11-12,59.777536
2010-11-19,51.609130
2010-11-26,62.959275
2010-12-03,49.880870
2010-12-10,46.356594
2010-12-17,49.011667
2010-12-24,51.282464
2010-12-31,47.577029
2011-01-07,46.157101
2011-01-14,35.189710
2011-01-21,43.152174
2011-01-28,43.646232
2011-02-04,39.773913
2011-02-11,35.612899
2011-02-18,57.479493
2011-02-25,61.098696
2011-03-04,58.192536
2011-03-11,54.136377
2011-03-18,62.517681
2011-03-25,69.155145
2011-04-01,58.468986
2011-04-08,67.761739
2011-04-15,70.255725
2011-04-22,71.444783
2011-04-29,71.079130
2011-05-06,63.629455
2011-05-13,75.341709
2011-05-20,69.063418
2011-05-27,77.802545
2011-06-03,82.891600
2011-06-10,83.292894
2011-06-17,86.353663
2011-06-24,84.581355
2011-07-01,85.629560
2011-07-08,86.867546
2011-07-15,88.622308
2011-07-22,87.578608
2011-07-29,88.801209
2011-08-05,91.636923
2011-08-12,90.235751
2011-08-19,89.032161
2011-08-26,88.854322
2011-09-02,87.866264
2011-09-09,77.767912
2011-09-16,80.308681
2011-09-23,76.078352
2011-09-30,79.253846
2011-10-07,70.694396
2011-10-14,70.956593
2011-10-21,65.746484
2011-10-28,66.224505
2011-11-04,55.661209
2011-11-11,58.400549
2011-11-18,61.328681
2011-11-25,59.253187
2011-12-02,48.893297
2011-12-09,42.501429
2011-12-16,50.680330
2011-12-23,47.283626
2011-12-30,44.450769
2012-01-06,48.079146
2012-01-13,46.600732
2012-01-20,52.552195
2012-01-27,52.236951
2012-02-03,54.841463
2012-02-10,46.356585
2012-02-17,45.432805
2012-02-24,55.284634
2012-03-02,59.065366
2012-03-09,57.779878
2012-03-16,63.320732
2012-03-23,64.217073
2012-03-30,68.548780
2012-04-06,70.266463
2012-04-13,69.935610
2012-04-20,67.982439
2012-04-27,70.305244
2012-05-04,77.483780
2012-05-11,72.899634
2012-05-18,70.529878
2012-05-25,77.913049
2012-06-01,79.047073
2012-06-08,79.512683
2012-06-15,81.240854
2012-06-22,80.578659
2012-06-29,85.886543
2012-07-06,82.218000
2012-07-13,79.110286
2012-07-20,80.954857
2012-07-27,83.824000
2012-08-03,86.641429
2012-08-10,85.799143
2012-08-17,85.138000
2012-08-24,78.429714
2012-08-31,81.618000
2012-09-07,84.849714
2012-09-14,74.834571
2012-09-21,70.632857
2012-09-28,76.536000
2012-10-05,69.072857
2012-10-12,63.447714
2012-10-19,68.530571
2012-10-26,69.700000
